Account,Token Account,Quantity,Percentage
GeG993YQZGZ39UsQ4saRRDWMHjYLZAkW57hhoeSwuhio,ALsKb7qSyWYDqgLcmEu5dAWKCkparTEvw4CMkMHWEFmt,3748677.00,0.37
6F5U8yLCA5MhMVnf5SwLhKZ9jet1JXarwEHu349db3EX,A4rRF8dpcUnG8bb5xfoJkKvuitBcN2o2Ri9U1fuFL4St,3732346.25,0.37
6TNth6PPviLL4jkXhe2M7qvyMTmQLWPY8gTRxVxKwCz7,9Dvjy3HFcVyDSaytHmRSqTKBeqo9GoHzbDuAp55CK7zJ,3687879.60,0.37
3bHMggpiYAZxgfhtL9Q295oHeuCxtPv43T6eWKbTdgAi,53SeWYToLBf4WVbGJ8acCbvkJjeiW7JrhoUNc6eTuL6e,3620483.58,0.36
6DJLqoW23mJ8ayL6MD4ThdSEM7R6DWaScsyVABu85DmL,3BgeBywkroPyxiNYzsUxqgiy1oQAuoNTRiTHCH6jZKCu,3548293.17,0.35
EF87curTeNN7DKR55L8xENpm5Cqr5q4aaEtUmWNJQiJU,GLso99JMe2xvcvuHSeR5TVXzC9cdBFMc9DyN8JamUq52,3490644.37,0.35
EBFBigFZ86zXWurHH59wx9MmUQBU4Bkz2C4gHQ4XRLPF,6K8STXMmCXGrsdmmA65SfE7vNunA33ZcWmbSXjUdbHBL,3447343.06,0.34
4gDyh64eov1hLmsV2qDuak8iYirUrrUNabFuFZUUDqqq,8c82VdQMNdWhzdabEaFwVfpSVYVwLyqqqtuWYkZVbEtJ,3272725.64,0.33
BqpiTCkZCZ9uECk5j1DPxjd4DYYrpmGCWfg2jyFieXEt,5L38SsZ39R8Pe3bcwyLePywooaagT2u8tkbRmrcpSWvz,3190749.58,0.32
A3ftSkFrcJVrHXJkzFxndd9RVTTULhFbkXR8yEZg4pi1,7PbJzLvEHRAtZLdZuQx8yPJm2k93TtRf3dFm38n9wcN8,3000000.00,0.30
8N6a3dJKxg23RfuZNBJoGaQ8gS3NBGNcb3cwzyy1zFqJ,6AWH1sgXnsbTMK4tmDsAp8SqtYoahbVPuSPcokhczyaz,2810449.88,0.28
86B4cDGQHtMgot9ojT8Hu2mWwBPEswTYY1XGMCeDz3No,6atK47CZZ4MxUZxfqwqKL3ozs21KfHqD9mRUyNtTXaVf,2662056.90,0.27
2hhCNF5PPNvRjAN6VcKmeAm5hzdsgstrmRheqwZy96e6,3amPjXUPW44jikkE8whBd3b76gmWQj61X8r7N8VRi9NH,2614971.43,0.26
8cMb6SuTHL21qpiJaZjiNc8rkAJC8UzgJjNstreNc2dZ,BcUeqoJXoR4RcA6RXb4z6Q13k16roXv4mARezN3TBjgY,2597402.60,0.26
EwTsbPd5QeGVjezWNfMQKRCz56RSUpkavU9jWxWiDy6e,4tBhL9jQ3YMUHmvsXHAKdardKdFvXu27FiMsMrwKxcFq,2538398.07,0.25
2FCxgm8kzsMs4GxqfM9T3HLQhKetgTtP5F3Gv4zNZkJi,2FCxgm8kzsMs4GxqfM9T3HLQhKetgTtP5F3Gv4zNZkJi,2422175.82,0.24
7mxrgr71Xet1PzVYoYANKa1cZ7f5Hmx7HR8E3zAcvykT,3MuNX3WRcdQwKRg6yWxcfLDaeyht6mW9f6fFoAQf4PQv,2355327.13,0.24
8ydMfWuFus7a7wKGs49qptwt1WbyxYM36L8xWvPyrWFM,8ydMfWuFus7a7wKGs49qptwt1WbyxYM36L8xWvPyrWFM,2282245.38,0.23
7otNeqLG9vs5rZNuXJxBe8QGe4R73uEGzMYKVuDjkAgk,EA4v2XznxuVytNaUKRyrTsTpJFkXy9ugqqKs5bq5uTGq,2175278.97,0.22
ANUL1txRrP2wRznr1vvXtFmNgk9NpPnoVn9kvhwunvF2,EswTqk5osJhYRkX8AwYwofPQ1JrpdhKmpyXmsbUFP6hY,2151293.76,0.22
BXjhcmSY7Kh5djKWXcHvPrzW9HAB3gY4eAuq4L6KxZZf,8BtSYSDsVwJk6ZrWmzYqDftD3SsuMcJYr9oBZ3VXQSAR,2149116.77,0.21
H3Eh8pZXCXiqHRD9gT8cH4WBfvDUnEEi91XhdyLGhD7R,6z7AMuj1grXXpn8ueGkpdG9SXZmrVDibuNmPfcov94Cg,2143644.07,0.21
AMU6JWsDf5xMzVvQ3ciwpsRMiEhqLySGRNmpLH7W2qGc,9onP75b98PXtegEcEEPPNbVbUWqAaKMpsZxJgvMaoMyY,2099538.75,0.21
