Account,Token Account,Quantity,Percentage
G1JL6BER7uGbDheATf3XwJ9ugCCv6XvJJPveCxWgzB8F,9YzhLCtNRh6aJ2YNdS1aVXbNt9u1vBejw8mqxWP8miVb,364743.28,0.04
3nQx2xYcVpj2eoG5dfvDukZxCLJDgaguWtNjpNemd3AZ,Aoi5JcmRd2WPvMy3uG6W9BZDdCT2fA5GSVU8t3ZuPFMa,361232.15,0.04
BxPgCYynLzgT3YAApyupvMfC4KCjs5xk8ULRC3i813gC,GsbMsW8ojN7HG22Uy2tokfaAwahBWKFM6BAykdbtnfP,358901.37,0.04
MbPiUFxqziq7bjBHtSJj4PUrgJjBZiAz3JiNQ2ynsp2,5TQB2ieJidDTxUkDGZUxVzrNaDDJUqutc9egQAgCDofg,346497.42,0.03
CnqVe8KVoF6KEoXYq99RpouNg2tmBopcRwKeMbLxGXLn,71yHAVXFDUxkNqWfnFFu26epFrAFuFtdrFvYES3nKf6,344857.31,0.03
AEeuHSShX9hzDpyWchw89eH19mqkmRfheTPLk61K6tAo,SsapG2ukxmKWeAZEwUjHj3o6giwyoFWj3zykBRqisGY,334235.30,0.03
FjCCigNcqzFoQRaQnpAtGorSM2XXQwZ8t4AbL1raahuW,9L2n2EXMiwfq659nvSBtAXjEYyuB6wgMvR3a2dF1pWy7,324909.04,0.03
DK7J5z9KegUfbgaczQVLMtcfjpRCmMG9h5VpgwrPFt9Q,DRadHKCTQfAXukCn55y3qnbAb4UmhELdDn8waAzTZYtQ,318368.36,0.03
3tS2gnhqWjDbkMWSVxtEsk8NnssbsDcfKdyWPQqYD5AQ,29BfPvTqpRdBz4W2M7bkMj94NHXHdaAweYqkNYFpr7xn,304756.68,0.03
DfEhimqMWAsWvqVPE11gBoVpNkUAh9URsEqczX2S1qKR,HtNC6AjXVe3zbBssfdoiJyREJe5a5Xte3pPXuMhyq5fj,304477.87,0.03
6UnyGRYyp78KGAyggCxP6RKA5BDiBmzjNAGeX3rJgBWJ,2P82b8NG1nRtn4QbVj3DsdvLLW7TnmkgxbZdTfVYBZQK,302286.99,0.03
DVYzEbSiMNsY6KRyYSUbq8n1LHw6r2QA2z1zy7jguXYW,Hx1uzqaz8k8sNJrsFWJkJAmAiU3XJkJj2SXb7cTneSio,300346.40,0.03
6b4LhKkzbUXh4qo5MGDcWHXHdPdfe5g8sVwEfGQyif2b,3niqoLEt4HKNmYgexfWtmpmUbBfCQHNi98ZVCW9KKGmk,300000.00,0.03
BehRzwLvxjPCnkHUriiJ32Uv73GAgRo4sX8Ek847fQC2,4rMz8Pi8pSJDWHX8QY9sFVQBHRsBkxLwqhAoiPkM8gEP,299339.16,0.03
8bBU6SiD1g8ANghuAYh6tPr8gCfJrtmEUF3CUGmxz3qu,5E7bW8wY4KMj95qGVKuE3gLHr6JNDYAPFBd1nHULq6ie,294147.09,0.03
4z6yPGWvEL6mb8TArEwu6hwD9eY64xogNYTzqABqvgJm,J6PGNhydEWpgdyJfJ6e4dfZGoUFJmD1ZqrFCpzZZeNkE,293123.32,0.03
EnYTCn43DLQLJA7tyCqXKfjATqF4ChMq1Ccs2pMYPBPP,74SqQcKvXZxzRaRo2dVWn5QC2YgtBEAMkoSL8orq366T,292715.62,0.03
Af4xW7fyApvwFJYwEXAYH53jyfb2nKjQmZfzJE8sKqTX,Dpw46SzkmNPTYeu9wEMbixVaHKrAWFPTaYM8c1ijM2MW,291092.93,0.03
BCiRH4uZvhBX1bqMLT2oTLwhDv2UpBNTGsMj89PayP8W,8E9iHtB61BPfKYkAiqXC63uRWJaA5eSQbjcy8fRSxfB7,289026.02,0.03
F4ZaZGPdEMKJA14V6agGtPaXec4RmtVUgBXJZvr8yXJa,9g7J27Md8Yqnvt9u2uSkrkK8Hg8apAPf25FsYKFJLSSZ,288177.70,0.03
FWTZM3NgjdQDpMohot4zZjksFBqrVu83bvTmG5jjFNvR,5wEUwjjNPuUdHektsDFSntdLCTdSdBuZbReToGyJayWE,284530.34,0.03
DUb4SMkgJRs2cDCVZDzVG3o8YYCimPh3NVfBVhZLUuFJ,Ee7vC7JtzzR9QusTsMkmtRqk5UXmojW7yPHF9h9NYDtW,283598.14,0.03
HfKkDG3iNUJJtaDB6LFr2SDm3vLFgfDn5iouPtCYaXDe,DPBWxX7MttnEd3GfmNUzGbWBHqRxq3C51s3as7M68Zvt,277359.59,0.03
HUeaYzSpo6tGyCEVeAaF9SrN69fUuznQFCgT4iaKJ8MG,JAWcnArUSpWVs1KH6bwZkDby6iCUrWBPvgQRHRH493j8,276757.07,0.03
HUdvHMaYcMUcrNU8mS5RPEFNmzZNXhKdmXLsjZqQVNMy,3yRrKqd2ZUrF9r6qxpfyu9S8qQk6DecZKFpLJWc6NBYZ,275632.78,0.03
Hv6QfGUUmDDvqvNomJ4pq6G26tU8rjpeUSkTrix4d34D,9ssvFP2yXqMBcDSLVu1a2Vc2GdF1E7NFNN2qyEw786fX,274329.75,0.03
9fxTrmghiciFf7CegsBSaMN8V68Q2g7tWCXF9h7r62h6,DtERSMiWgFX2BvpgDUXWSkGuvT92rNu4fbQahcFDiExZ,272682.63,0.03
5UmJCaCGaixPPRFhjPbE4DRoWP69cyBAcM79pQxZjKmA,4FnwwWF6gPpLp2gKM87yZ7ogBHqDEqSKr1fMp6mELMbC,268605.62,0.03
6KD53LNPyjZGHtJXrR4AakHbUF5k94JEwCPtJkkVtUJ7,8ypmjXeSEHUJVsqgUM2q1ossMaH265Nm7yN6eJh7bHg9,267367.65,0.03
BE1WqWrRV4CTCdjH37A4SZfoQe18sDiLMiFL2WFFWe8v,CYx958TtnDkMCcdxzjdQJpNp17QUvbpwubSL5soqhKR4,266217.64,0.03
7qmK1wFzWf6Mwr4APjs9evBb1CirPTmgdjeU5LJsEd7D,JCVDTqLZ3EBcXkt6beRzbkTwb6as8fJsr5gmQvPKDQXz,265945.16,0.03
HwpfpZihFCTA3prKC2Av8WRV5132sE3qDUpdWex1MQxG,4d7dXaAUVXD3686JfFcjwvgNoH5TTVQVcYtHvSxW6hZT,265813.41,0.03
F5wBnGw2WsvqExvzXNcBx3bM88koPhm1ZhG5D8Md63Ru,8wajVZUZqfhr42jnNjxGwGPTmswyvdwJ7VpJ4uZvFwbX,265380.23,0.03
2c4QFMvV6EMwsYnhUff8exjpzNBSrwTtvq1j7dr2iSb7,4M76vxo5vGrqTNR63AU9X7diQv9eYZNGouzWiNZfkatT,258046.86,0.03
56dxE1tUJzRdzxVWqJzfEDpRWiJCdfcL11jby8NWNn1c,3rXQVfC5NCto7xcWaAxyTo7ZV7CuqSrrprWzXXkRtpUf,256019.83,0.03
78WhALz6qmQXzYCbGtZoPSZDEfhsQAciidRdndp9MHQ7,6QccsiYSE6CnzfrSY6XczViYXzTB2P3bD7BCd7bUUh9J,254705.21,0.03
GDpy1zq88egXeyrm8c8Ny6LjAbAhKUV79fqDU5soszqS,E2xe9fn2pSF9ySd4ab4SuiHecxm4apnWj4ddFMwJ3M43,250000.00,0.03
5acaRBXFurw5DyzWtPo351dA9rWxUkp6nSjyzgHp7tTu,46H75HWd7ea8xyXwR3m4dYqRxQSJtkEQGu4AX8MvpWaz,249887.19,0.02
4XgACQpUaqMYLrrHVpejJg1zVP6bpwG3MGTVGPXSeYXU,8qTJdgegsccrafbzbZVqFkHMPUsn9bQeEyZceUVQvt8z,244539.20,0.02
7j3ACdQBdVLAU3c9avjA7LSrMarVPgvoQqBqjcqbwJnf,3jnmjDFQrkRWRdKqAMY7vKsK8dAezQ72gBXojtVPg1Fj,240026.03,0.02
AQk7YUvkHQBr4XJdHDcyWtcMQQHtEk3TTfuyRxeQgYFn,Bn4NzpKQuN2HdKiRwgcGWWzoTKc2W7vsmswx5A94bm3Q,235738.93,0.02
4m56Gujd7tquZ4La1pt1C6LjznyPiaTVvx3rJqNijcUj,FSDDPSUSakX75YxLeNZC6im5HMwHWLN1sS5AkAeAE9S5,233993.14,0.02
3V8QxnNd3o6wyVzT43miTtVoMWHhJTa8c4Z35mWx71TV,6kwVMxUrcgFB3hkvoUsA1W7UXJKgu1aCtAwX6YW3wKcR,233874.36,0.02
24oPJNfdvp1cSwnMp5NJRxFZRMNH9dNd19P661YSPh31,EaAP71QrqCC7xSLTAqmfatyNTXUVQmae2db47icRDyNE,231924.56,0.02
6cD45rLhzvYrjfLeuXwMLHqUL9wyxRJTsvrxJaAWqmeW,fQfeNypEWLaR18vZbzjJSjWbLU5cf5vLnaRuGQAUm1C,228661.76,0.02
4zEXzTc8AmnpybtBzFJD57SnBYSYqXkHKTJosHi1NFFk,BDi89jqjwi5ywm3dKLtXbz5usBnrZDbHzDK4Dpdw1JBJ,223559.95,0.02
45bwHhTo8J54bNACLykHinHYFTKBh66zeVcpexxJj6GR,65cPsEwRqmu9VcmKapvCmkAEwpcHQKky9CgqfD3tu154,223127.62,0.02
kZkhBT8J2aRn1NE4AQrnj1qMDDA9RyVVQkzqWhoY6Av,8uYeHZ3xT7eVqDtPScN8TG5txEyoTbrVrQGYCvMyFNg9,221434.37,0.02
rmr9EhS7DJnZXb4WLDcbFNK8DvA6dHNWN7ijHTsCh3t,HcnrqxYBtbbgmvQ5ixZX9Cu3DqdnMzWQDapaeGEoDk36,221258.00,0.02
GahQGahG7rmX8uTZRXSi8N433x5JMsd93hbTNKZodKQA,AzbYR9BoHUGrAAox1ZVc7L1S3nPNRCwBLpABSFyEZaTz,220278.88,0.02
2fZ2tYJSHsE7nSWisRQhF8rfC1Ui2FS4ELwSxcGANGaM,5shXsfnovYivwTeCdVEpzpE8eQYSoSLKbtfbW62idMjQ,216187.68,0.02
Fq86DeebicrgHCuoXQCAgFTYpVqmFezMRJ2nhF26kkgp,2VdZnJFgLnniUdnqJLBrEeTpvbk3Qnib7f1XyQhKNUHF,212101.13,0.02
AS6yB1sxDsaBEqwSfmjtYncT37bL7UeKh87aVUsuWaTo,F3xfk63G1en98T9REKzbfByLUveXoo6L612y8AqP6LhH,210489.92,0.02
BkhcFULEB6bBYqmXDn7zEb1AUdK8AAnL3uJHEiGWXvdT,8KaaaGSFg9Qa3iVHBeEwv1i2jseTgGBpfBqTJ4MyvyJh,210197.32,0.02
C679Ruck2JLW1NgwNDt7rdavKL3uDd5snLuwhFRmymuQ,9GnuUFk9TzBbL83Zi1S13cDjGRNQEYHKjC4ScDA4XcJ8,209250.17,0.02
3VnpWUMSPfbB6oP6NXKTGT5tG1ZA7db7f3X6YkyFtX35,2BwP9WjaTedgXC8g7zJJjvgtgpiVVBj3i9Pq2D9DZdgm,204190.61,0.02
G4ussbxvmPVEoZM7iZ9kYiSjDi8cHRgxYErdDLpJNDrC,CXnU16sSfbQkVY6qCD4VMtgjNAZUxgvrfhsFcncffZyt,202080.88,0.02
H8DWKZTPnJHAEpt8ZuojS6x9xunyC9NGiuCFyvB9kpy5,8Zz4JizUXYxJ3p9M6xFHLaFvYpMqGyTyGzDuUdUwWpHF,201110.48,0.02
355qPYhHyCyFrQDHYJfubGeeesw9WBGANhG8vFuwxt3y,5hUqxoWEYDexCsTXqtuxMweeJn7gbfpYhxXd3iChZn22,201054.31,0.02
GDf9dwe8mdENah3vojRoZXZ37LMWyUoRpH6JDgr6eYwe,E7537VahWuTio1zEfAgd4mbFsSWM1M99a5NBkjb3pYZg,200390.01,0.02
EBCsiUB3e5ggMfTqj9QnJTU78RCnjGCziNC23sKUr8Gf,AZi2MaoeovKAp1VfHz2gSV8m61Zhsvx5J4JJgHfHbhVQ,200100.00,0.02
9NGC23ch3unEiyb2mN2WaxdWkwD4bN9qwdfcUndVZsDd,DvNBErY6zLDWU5pMroX9M4fCAzL6VGF8R4V1mWTmvcVJ,200009.00,0.02
8QtBbUYXQKtx7zsipMUePXJkLDv6sr5ooNsyBq3rg4tW,565zKv2RHbcTYfJmhE95cgAqAAXHRowAKWTiMZidUonz,200000.09,0.02
CdqHYRagoYD7Kg1ExdWM57vxdPGKxrZwDPrnoeDKiga2,4Hut3R8W7fbh2hCT64CBnm4Z4vSkY2sw9iphfHEM8GXa,200000.00,0.02
GMFHK6f4hWJ1vCC74kEhAH6MyrtKjZ2Z54NcQ3RRZF6Y,49e77tLjvkW377vAaMRVf9wcF8qGcNAhsqJZKZugpNVD,200000.00,0.02
6C2W4KQHaGqXzS1bUHgSU1gDEvzkp9QJv1rH9UguS4n4,Hc8wvQSDzkh25ySTB5mHT1o8KCAc7AXKeMzyd8Gc7Rzg,199107.30,0.02
ETpDLsVjgrHPVUbDMxjnSmHF8u5GsqUFZjx7USB8bWvP,9n9wx2LbuuGzqQAH9P4bFmiUYuqMQbdzdFtxtxEvzfkC,191845.94,0.02
47SuoQ92vNC4u66a4bnH6d2gC5MkspB8JjGStLCsuv5x,8U6F6EfrQcNa2rS9Yr1ku8CuqZEtp5w63jztiV4R6mJM,190617.12,0.02
9uwkiWqsuSGhC5CWHcAp82WCt1LtqahJ1B5j53gYG2pZ,824ermBFeQK2c6bjjbbdNmUsWBT2BNrEqParhkDavL83,189441.75,0.02
6NjCiZTVRoCct8nUBKRBAjivRJNeS9wGXnaxQdttXZH4,B1NTXa5zhEZRGbSRFya3P5snhzpchiT9WJb4V2JUJJ7o,187609.75,0.02
D4MtnwYpQGqd5E7Xx6QSZ6AJwK24RdBCcDGCrpFZvgk2,3aRekiN2RZutwXRdqeQQd9ARuHGbGYCKHCU5QZNMYbxE,186406.04,0.02
7vSubPhivk1ncEuwvzrwyUwogAqaFbfTgGdKgjYibYe1,2RcA1p2JHrSXm2678LQPxb5qxnHSvFJ7NrKHUUaootrM,185813.28,0.02
5Pm6vy6WaVipowpFFWwsupGzPuYMGvsjsYFwiBFKfVd4,F9dH6fpjR8GZZDCPH81Wnz8zCVy3x4bHmd7VV77verZd,184510.28,0.02
G9a8obd62QdENDk4X7ytZHfatGbJmE2wE9pVavhvvg1W,BxBtgp6YDHzcn88Y9ebtfPCqzm1b5wiQVnxyybqjsSxp,182579.09,0.02
5Lv4SAaeP4irdFSpTB9jJsLjfZazG7jds4MbYBiY9Rae,D1izsug4mynqES3YFLB1xj1LfSe3KCwKVTPQuNnUL2QG,179849.49,0.02
GhdGP1xgyhnqT2r8QLZUjnEJitPQVi3k5T5ndL4Yf5LT,9rFpzrvesRsZFmCHepwEz9Pb7gPPQ3WppstrJ889U2cS,175105.86,0.02
oGzmhnfeA6bw5Qhjx7gZkUipEydfBX9p5rmo8WtN3Nu,5b8iDp6YgtN7x2oVd3ZyEB12F2Z4JqjSXnxAxJx2QxGB,174982.93,0.02
7qqX9gBFLk1scFKQtDckzmN2YHzLMCkEhcAwoSbqXC7k,CxJQhNeHEnZQBMv861hDrxS2ggLXQc8yDYT97ZiQ3MXe,174893.92,0.02
8DseW7LFSswfFkiYLHEih4ZwH6w5crrEW4EtyDPoQyND,GXBKaGWVYrq9zBauDoQ3syskTAnMsWiJTb6kMH4yhSge,174873.44,0.02
8jw7bS3E7vnxkDVsRM9E4Um6TaUcVzzJieWvwCD7Vwyn,5ZM9W5gdLjp1MxEi1iHGwYAyAiRFFuaEWjbTb5erP23x,173769.51,0.02
3uYRs2G1shT35gQjYb1ZTwNzciKFKWw81CYsaRmpRkE2,DdFpFUATSus4fHGEFwpyJpUxGt8Ks3EURHSYdUhnzeBX,172601.27,0.02
E4BpshUkfr9sV24XFaZAT8Ec3U2An55Dxv9vEf1pz6H2,ExC62icGarsub6Pn8RMTWBZABfibY21xDfys5BxYRGmk,170637.03,0.02
DCoKRbzmqrHnYbVjTgqUtUiCqfaRwwoYajDdVdaYnvcE,2UDdxfSeWt49XXNnznJCWC5SSBcd5xdV4zzbGZmrTBdE,170317.36,0.02
DQGW3XrNtNciWJrtA5os6Kndy8vvr7z3Dz1xKhCsr9L3,B3nvy1DfthMCATV6QjfiskgUQrn79xtSn9Vq4YWypVLy,169570.22,0.02
7tsiqSmGpaDahUwNinz31Fprn5FZwNUkinzdy8GvU24a,J24wmC7FfEzYQiuuW3Rj5A48s3RjAjdQN4Lo8bv6ajrC,168441.43,0.02
2LQyKxCMCfb1xfhHpes25YHRZcjiWYqPywpz14NQ2AGv,2cmzt8mJ6Z3TZpZRiocwEm8yjxuCSQe7JRd7MwrgiZKV,167666.19,0.02
7fLzvPNeVrxPhugJg2JEC2LAuAgmqJXWHibHF1Mm7ZTN,CjBK4hmS1yfMnp3xjQUZdX5RrNGG3Jguf1nD5oS5Y14C,166513.50,0.02
FGBKa6rZ4oCLmn6MU43MbvKsphocCGW7v9KY1AKArknC,4gH3jfXrAXctn7VkvB9oPrsoM29jyVqzMUHF6K4sermh,166086.13,0.02
BoHnAed9xr6onL5z5nYwTpDUta7Kcg5mqAohdBbYb73r,6MC7PHXYvNfoVZH1TMr4QPKHFHsEe1UYtv11kKntNJFK,164956.37,0.02
6WvsLLdrymfWrKFqfH1F4wUn8EinTd6Zkob99BDtLu66,3dkAozmRTkivR3d3rAbVDUrcUYdbDN1u9H6kPwrJtKr2,162803.05,0.02
GTKH7iA1k71Su7cBw57uSdLzWRqvALgDFvKmNdYtAfVp,H8Zn443rE4i5qx2Bp1dPqtZYcgrSw7aENU6ScQgB8BJh,162621.95,0.02
EXnjC8HncuMVyF1VzsUZ1cYP6rK6yJxTjbCWgXbrcEsW,64Yt58cWQFVw2wKxXWPe4xCBrv5ctYfD8pKvexGM5SPU,161863.90,0.02
Hy9aqWLtvc5SAnhmgYo5wn49SAtLb7m7BjMXgHrMgScB,DhnsHCrWTxmEsCDs1k2FZLsGgt6ivJiA9cWRLKoQQyVv,161353.47,0.02
CjWk54Mj9UHFSGUDzKV4RrrTVq2vxwCaYJZMquAUG1Gh,4a4rXFztcoH8tLCcWR2JhG7oKtgf7D7NwBD2upqNuB3v,161289.92,0.02
7tTsf3RfCdoo9A6PgH93Wjsc96993Q1HWT5B861wZ5T1,5e6hysz6PXMKjRR9o3XUaFzWiYbtxA4oQyV9XmLLFGLr,154310.36,0.02
HhRMu4X4WXS9gywMaSVsCCj5ZpzPLX3KPhEDMxuZQFHQ,9G7zT9MDJ5Q29eGTD8DiR7XbGih3KpUBYYLWismz8VoH,153525.68,0.02
5hsN2kgBKX2bb4fvPkuoJa7gRiBPiQedN7ZvENxGUk1C,HdYXvGhJ6Zi7PGzAgEEvtF1X6Hx5xk1fr76SGMc8PH2Q,152159.97,0.02
FGDzjKZXhJo9pLVPW6bbbENNZ7oDFs9wNjFcocQ5q5Q2,9r9RkXV9KEm1n7McBxhsnD873AaKBBJ2DGzxYegRyprZ,152030.71,0.02
ChpwRawY317DjEJfNviThZd7n59SHH8UTtzgUm9JP414,EQhkwBEXYi9kAx4xnwoSZojLfbKpMR1jR9pdcxsC7a4q,151987.03,0.02
71u4qcmEy338i1mTzrrofCJWTsc6JvhGWcquxU3Mp5HQ,5xyjgMcXHCstfU5SzcVJybK3ARDJfWun8WKtP2VzDXWE,150775.50,0.02
6mgnFxA8CrfLgE41vpa7SjQLrmnNpXWYDPWTy2QkjWuu,U5PYvT614dzkaEVXavHyCZbMzAZmraR4TT8YseaMiYV,150390.75,0.02
Cb8cMjP58kd9vXmJK9frWVYa6EhWhTuGDjxdRJK5qFBF,DjoqziT6gZUEhHT1RG2ddicRQfHgcm9w8W9xNdtR2WMg,148929.51,0.01
8YjxPaAdMxMZuwPzbm3Cyuh4j9MWEGCzrwRAGdzCiTzn,4NhmVkKqS4dNRQrMRTg51aPFRFiZsyF956giucghnYxb,146638.88,0.01
73vyfNDxBCgGkKqq2EyQLKUJbANi7zQPHyMCJmmHi5Xo,81AUpNDadjUAcK6Ds6TQuR4tcnXPMVYnqXSnEUamPXwh,143657.80,0.01
hJ9J4M5VXKccV8SNnNaCDC7aYyG3HqXZUpRemSNg4eH,J9nKWRYj8qLwgP47ey6sQuqddsKGG7GmDdaBxKUYYa5Y,140014.49,0.01
Cr1VFRCDy4E6s6EVcUS8TBxw4mdVejAbx199CwLXykwb,4X56EaYVCiHTzaNx4F4TubsvvgTDRQMNAVycSkYSXD1n,139604.60,0.01
1247Ly3k5Bgv31L9fNNGAeJDGm3yBLF4tW46gLYNbgDs,FxhqZiPFGpFRA5TZ5MqLHb8G2V8SyLenVoNRfJQHGDwV,137844.55,0.01
Cr3B7NGuRqKpxsicfxHJ11kMASSXDWv1TwateM5BWD7W,DBYJ9qtAJKx4wFfFSfUnUyPwyQGKQryU4PQquS3bQSrs,137776.13,0.01
DW5KxjWkcBuhvsLtJoxFHghzA2cpza3NJLaqkpsGYc3W,Ajvjax4uvWpTdhVRMAxhKYULSJ1oFfa8BYrcdWFrXXqk,137540.89,0.01
8z7Gqunz27cLmnPUKQCaMsKeurPLThfAms9wDkv1c9sW,27kNrDf8o8L5iHEq2NS7k4oxc9UZKJpwGqcG7ERgRzN9,132736.39,0.01
5JcjLM63Q4nP6Wy8hRSVe59ZQaH9niNyNNei9S6FAHzb,HmxJ3TDG9crGaRKPe3wyEoXwXV3T3mVbpAx1bG2wcdfv,130891.03,0.01
CtYuqYgJjmCsoBvB7XKH38Xkt9r1hA97a7o9ehLPiaQ5,4rbo5JgVaRKESMAWWB5tHvufGC8gH1ib7XdkStqg72Wr,129362.49,0.01
79hG8kP7ViGHxfELk44rEP37wviQf4721QWP2V3kUgrc,68y7iNZa4anpJZt1oFj5EF3nLb8amETWoKD7ix7vwuYf,129267.90,0.01
CqzTkumSWYQ8PBUK8RQfTqWbm4w3xF6fpvbeq6o1gx1C,J7m2YSrcDjhxhKhq8vRMoGqYrkhxBotp3V8yHZcz5Yz,129215.88,0.01
6tfyZHNv5qJyjrcjhzFTtHop8WZh7w4r4aGDMcWF1B26,7Y84Hj9yHJPWmukY449FT2xPoRoNy2XM3uqe9LP9kuAc,129142.38,0.01
2VFwwoK8u5NWHKetoknsw7Qd9CRnRbaKZwma8gVWjQBd,DXofvofJJgm4bg5h61GQVdsyJNf5YnRYtreZR2JGrM4r,128094.83,0.01
4Vrm2mcQGmzWPN1YqkPdvwEit8AHKWMBeEiUHNfZzUNp,AkfsTj5MVfyLtNxfdrw9yzcPpbWWe3Mks8SBQaUhnJju,127724.01,0.01
yuR8rgxZjZniS7qPxKH3nexrdZTSTPoLXUeJdgHLUET,FCZddascZ2rPLUusCTjCFfEVJ8fMjYpx2dag5DPxSapQ,127384.11,0.01
3nWofQ7q8JPHiW397Hg1rdPHyfXs8qEH59Z9bRNn3Q2u,5wBcTUo9fcRpb7yMAAG4EbF473MYns7J4Rurf3BXLPi9,127159.67,0.01
G8oDkv53sbBpDHsw9ds3Ks44j8Gw5tYuA2SFozqVdckw,8F1ydBQwwr3d4EwgdrCCnzjMu72yw7NuqA1HpGzB3K57,125000.00,0.01
B5SxJ6VwfeQN4U8U8jyKikoAvRgc2PQGpavL6w9hsCp1,3vzSaaje1KBRsBcDWwEx1uG35oCKumsYJoC3TrCZVcqs,124804.74,0.01
9kkZwLMJpsr3WPKCnKXbu2xWQU9cYTGAQrZKWDiH6tu6,AAKTp6EaTTomSq98iMPMDi7RmJ6o3Ms5QRGxNdRtR3e8,123865.90,0.01
7ydf5SQVGWL8fsTtMWsEzU3t2ryGb9kW7hbFAdziU118,ARRUaPj5WphY8mk6M17jNogdLRs63ZzVTyM3kBzZhuMR,123820.13,0.01
HuxNLqCLXQMnTrvfvKWUAhEuXczc7VX72WZdxhkyYLmR,12VFAPKfw7J4fd9gHvniH9ShrDaSknN5JkD1X5X614rc,123554.13,0.01
8v14ALPbVpHJran8g5kKEzC2ZoJz5PyZ9ABKf1pyGQou,65bBCfVZTKnKgbhXHAaZtbW6C5UMaaNSCepK6ZjdWgCB,123504.13,0.01
Gbh5kkubr9qTDeRLmAdwUTu8DK8TPTkDgdtUUpTAWu5h,29c8zQkK4mFGmxUZzjMiDb4QGA8zgbitWJC9R9ghshUq,123071.99,0.01
CP1bSP4pQJwVPzdfYmKuCyPF43ZvqEps6NDKCAzZs8tJ,DY8R4dAYJLh7ngT7W1CBxTQxebrquZaq3jiqtQeQ7vPh,122485.08,0.01
8RPQ1CkzWiyMqYU7xgA31dgWXogecQPc9XrfjxvKob1F,GszCGd8hJSj2eEGKtyqSwMoaToX53ReBRHXD5DgNTGMj,122289.30,0.01
7W6XuLX7vQ5cVjveLMprrR4XV4AHMDn4o2rbG3qGf2mL,EYJ6XVUYnAiLzY383YnDqxgM2sh3WC15Jpm3SF291weA,120199.25,0.01
H8M7TCUFzANM7kqmivT2oDtM3s5oVve67FoLFVM6miTy,8743a2n3NjuLuzP9dckJFYZkTvDuk9MrodPZDaW49WUV,120000.00,0.01
9dzrEkf6pRtDqD1miXdVyNpi3Z1fP7Ztts9No15QggRc,6XuEPBm5CN5ovK8XrJbr7NvwDeYmPiSqFgmbq3X4BaKm,119337.59,0.01
DavqdHr7DGtaHbBiMZDQnHyYHEsvRWnVBuELiVCWy3uD,AuDbwmdVJMdTn9m89ozEbNcJRS7dNG37KkWPaMMMYBG7,116708.10,0.01
FhyTm7t3PwTWK92CzRzQzsatXFm3SvcXbP2nSJC1T8jh,FQq7KZTrPMk8NCprCZUoJYcVF7sujKpCpT2g6WGuCpKm,116657.63,0.01
1jz5rUzSd8N5AF7VtCci3Tb5g4P9bUwRqQA3WRmE4Ji,GtNBBqLM1MBBKt1e9sDt8C5cEobakj7rvHjtPczofrLP,115390.48,0.01
4ELEMENAwCWgsJxT1V8o7NvwNierTFCpSPBEZQp8azqu,CJKMSpgUjVt5vVEvocr5MKmSLevuKpGNKhsBRNtZ6ET,112754.14,0.01
623DMYmzgSZ2YqpUy3Uvc65QHewBAokvBjbsjLbUoMxG,ExaCs3Xy6kUTonSAgEBe9envGnDHPgG3GygEHtk7RXwH,111018.48,0.01
HRioEqNzeAXwJ5h8L7SjYN4UcshnFFaE5GHzbWi9WoP1,F6yrxJSNKHPLRRrLAKD3Pu9VxyhhWReCkrZCAk1X1G1D,110935.94,0.01
9qUgTjfwjts2jvfAVEnDGxHpUhcU6vdvS8N9nu85CysU,DB28182rGmXUGPGB7DE2p4nn9h9Unu7TpuZwsZPaSxS,110615.10,0.01
7AWhxKF3J4QVZh2ZB19z5H8U2jCU441g7e4QJbsRbCkT,HQe1abxYk3tNb2R32pZEK7CWCYWDcpN4nLt6P6smk7Zk,109508.22,0.01
x4cBVHgVqHTRyAyNB8Qd7HRofYumWFYBkGNkNfPCVvj,G58tchgF2xrGAfD6dq275XrFEBp3DZcz1mfK5qtJZ9Kr,109197.08,0.01
GZyC5hYHRsVUbhgqCpsin6RYi6gbz3T1cy2Yry9ZyB5B,3VhhQJexFR19DHT3bYEPVKvgfjZ8ajzAaDQTMY1m9YY5,108063.45,0.01
4YZf3VcucYqgfPFLJvvukqiAUw5kjwsnRHsnkZ8mA2Cj,Fr6n4cuBJetPxAUSAqHqqrb3rcFLM6gosmNgx1za1WGa,107998.08,0.01
H6EyU6MmepKsyVpCsyqPvSH4Ms7NHp7ZG3sjqWHRrGzj,47NyGPGKohXpSczZju4Qowxk4RrVVf9MVfeFbbSev3oZ,107443.70,0.01
FBCqTNQxtDSizWUzHCsQCPC2MTQoVC8H1qzNhq24PNKH,6cTbAb3EmzznzrmZCqbtkohTY9ZbtAMzKdtx54BksYGL,107246.80,0.01
2hANPmrqvGxStB14B8QExyX67xyvduySjaY3aVzjDRno,DhwTuohsotG6rdSv6YC6phZHYnGYn65F94PeZJLthr9L,106709.33,0.01
41vjp8qQvuDqUpG9tToBQNSUAA1Vi5MbhAvf5QWXtaXt,6E8VHKe2GuLu86f8HCEa8SvCwMZZ1o627X7K2hdbtxNB,106323.32,0.01
8ioGphV9n8fg8Xe4FzJVcVuC9PPLqL1uCx1o27xK7F3D,6YnBSMFzQYH7vfWQukxhSbfhdVdmmxA87Tr3goQBqxhc,105982.72,0.01
