Account,Token Account,Quantity,AIRDROP
6TNth6PPviLL4jkXhe2M7qvyMTmQLWPY8gTRxVxKwCz7,9Dvjy3HFcVyDSaytHmRSqTKBeqo9GoHzbDuAp55CK7zJ,3687879.6,36878796
4eFQzAhq69Xnw14gRUZHvmrCGunkkTyj27dbofc6eqD6,HCGzTV81zr3QGq4k7vDHmyeoanxEMmzJmKxtiiufaeFp,3645842.29,36458422.9
5gS14Pm8ACJvnutYZg6D1PEK9G3Nw8E6NtRXwY2aiGeo,96Bwtu9kAeG7YbivCHCfR5PL9Utiv7bL4EUN8BSdNhcE,3619691.04,36196910.4
6DJLqoW23mJ8ayL6MD4ThdSEM7R6DWaScsyVABu85DmL,3BgeBywkroPyxiNYzsUxqgiy1oQAuoNTRiTHCH6jZKCu,3442626.63,34426266.3
EF87curTeNN7DKR55L8xENpm5Cqr5q4aaEtUmWNJQiJU,GLso99JMe2xvcvuHSeR5TVXzC9cdBFMc9DyN8JamUq52,3383668.55,33836685.5
2hhCNF5PPNvRjAN6VcKmeAm5hzdsgstrmRheqwZy96e6,3amPjXUPW44jikkE8whBd3b76gmWQj61X8r7N8VRi9NH,3361280.22,33612802.2
BqpiTCkZCZ9uECk5j1DPxjd4DYYrpmGCWfg2jyFieXEt,5L38SsZ39R8Pe3bcwyLePywooaagT2u8tkbRmrcpSWvz,3190749.58,31907495.8
8N6a3dJKxg23RfuZNBJoGaQ8gS3NBGNcb3cwzyy1zFqJ,6AWH1sgXnsbTMK4tmDsAp8SqtYoahbVPuSPcokhczyaz,2810449.88,28104498.8
Ciriyw6QHKfpn23nLUVQPFmAsKttQp6S81bqBJqjSvx,E7cF51ZzNPwA5Nsna4rjnF7U7aPSvgBCj8KMNWKNQTkm,2543583.79,25435837.9
EwTsbPd5QeGVjezWNfMQKRCz56RSUpkavU9jWxWiDy6e,4tBhL9jQ3YMUHmvsXHAKdardKdFvXu27FiMsMrwKxcFq,2538398.07,25383980.7
AFRoVaLMineL1j7vVkhBqihKXJK9Cb84TQVf2k1VH4H8,8zCBvx4jGN9SYsgNfFj6xGu6Ffp12AtZe6Np2X2EpUXA,2302915.05,23029150.5
9SX4M5MtcTgeCokXgCNc1wWp9cbGaNCR71GahBXDuLtp,CvF4knvUyw4jDQ9fVuek2zN7QWp8hvbnt62ehJtnCjG8,2248233.06,22482330.6
CtfictZcMXY48vMisNNZpwxiEWyaqSoDyveN2TmLiRxS,5NSe1csX7AHBbjodAQXVdDLaLADuhDce6NEuvGGUXxob,8186297.28,81862972.8
